"source_file","format","dimensions","file_size_bytes","transparency","pages_used","display_dimensions","fold_context","decorative_or_meaningful","loading","candidate_output_formats","responsive_variants_required","referenced"
"assets/photos/portrait20.jpeg","jpeg","4000x6000","3591685","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait19.jpeg","jpeg","4000x6000","3553889","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait17.jpeg","jpeg","4000x6000","3495540","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait25.jpeg","jpeg","4000x6000","3400705","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait23.jpeg","jpeg","4000x6000","3089638","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait24.jpeg","jpeg","4000x6000","3076189","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait26.jpeg","jpeg","4000x6000","3069640","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait27.jpeg","jpeg","4000x6000","2981469","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait28.jpeg","jpeg","4000x6000","2978772","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait16.jpeg","jpeg","4000x6000","2928729","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait3.jpeg","jpeg","4000x5531","2890050","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait21.jpeg","jpeg","4000x6000","2869500","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait29.jpeg","jpeg","4000x6000","2841686","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait12.jpeg","jpeg","4000x5493","2815081","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait4.jpeg","jpeg","4000x5042","2720749","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/backgrounds/site-panorama-v2.png","png","1774x887","2706349","false","css/site.css","CSS-dependent","CSS-dependent","decorative unless surrounding content establishes meaning","CSS resource discovery","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1774","true"
"assets/photos/portrait5.jpeg","jpeg","4000x5023","2706337","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait7.jpeg","jpeg","4000x5616","2679985","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait14.jpeg","jpeg","4000x6000","2670446","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait22.jpeg","jpeg","4000x6000","2615031","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait13.jpeg","jpeg","4000x6000","2606997","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/home/home 19.png","png","1122x1402","2603242","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/posts/postsportraits2.png","png","1122x1402","2603242","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/quotations/mission-quote-02.png","png","1122x1402","2603242","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/photos/portrait2.jpeg","jpeg","4000x5531","2595243","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait15.jpeg","jpeg","4000x6000","2524798","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/home/home 27.png","png","1122x1402","2518860","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/posts/postsportraits10.png","png","1122x1402","2518860","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/quotations/skin-quote-01.png","png","1122x1402","2518860","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/photos/portrait9.jpeg","jpeg","4000x5549","2482458","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait1.jpeg","jpeg","4000x5305","2481216","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/photos/portrait6.jpeg","jpeg","3904x4892","2465634","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 3904","false"
"assets/cta-concepts/fresh-sage-porcelain.png","png","1672x941","2459156","false","css/site.css","CSS-dependent","CSS-dependent","decorative unless surrounding content establishes meaning","CSS resource discovery","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/home/home 24.png","png","1122x1402","2439461","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/posts/postsportraits7.png","png","1122x1402","2439461","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/quotations/mission-quote-07.png","png","1122x1402","2439461","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/photos/portrait8.jpeg","jpeg","4000x5606","2410131","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1920 | 4000","false"
"assets/cta-concepts/dark-botanical-garden.png","png","1672x941","2403798","false","css/site.css","CSS-dependent","CSS-dependent","decorative unless surrounding content establishes meaning","CSS resource discovery","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/home/home 25.png","png","1122x1402","2403463","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/posts/postsportraits8.png","png","1122x1402","2403463","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/quotations/results-quote-01.png","png","1122x1402","2403463","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/home/home 28.png","png","1122x1402","2403195","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/posts/postsportraits11.png","png","1122x1402","2403195","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/quotations/skin-quote-02.png","png","1122x1402","2403195","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/home/home 34.png","png","1122x1402","2392105","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/posts/postsportraits17.png","png","1122x1402","2392105","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/quotations/testimonials-quote-02.png","png","1122x1402","2392105","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/home/home 35.png","png","1122x1402","2379536","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/posts/postsportraits18.png","png","1122x1402","2379536","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/quotations/thank-you-quote-01.png","png","1122x1402","2379536","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/home/home 22.png","png","1122x1402","2366827","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/posts/postsportraits5.png","png","1122x1402","2366827","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/quotations/mission-quote-05.png","png","1122x1402","2366827","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/home/home 26.png","png","1122x1402","2366027","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/posts/postsportraits9.png","png","1122x1402","2366027","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/quotations/results-quote-02.png","png","1122x1402","2366027","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/home/home 20.png","png","1122x1402","2364255","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/posts/postsportraits3.png","png","1122x1402","2364255","true","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
